tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
2911998	Molossus molossus associated porprismacovirus 1	Porprismacovirus	Smacoviridae	Cremevirales	Arfiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
2928960	Wufeng Rhinolophus sinicus orthohepadnavirus 1	Orthohepadnavirus	Hepadnaviridae	Blubervirales	Revtraviricetes	Artverviricota	Riboviria	Viruses			
161675	Tamana bat virus	Orthoflavivirus	Flaviviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Riboviria	Viruses			
2815771	Matlo bat lyssavirus	Lyssavirus	Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
2928906	Chifec genomovirus UA13_114		Genomoviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
2447800	Aselliscus stoliczkanus polyomavirus 1		Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
2928924	Chifec virus UA13_111					Cressdnaviricota	Monodnaviria	Viruses			
3052598	Pararubulavirus hongkongi	Pararubulavirus	Paramyxoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
1955153	Picornavirales sp.			Picornavirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
3059756	Bandavirus zwieselense	Bandavirus	Phenuiviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Riboviria	Viruses			
2990517	Myotis daubentonii polyomavirus 1		Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
1959848	Molossus molossus papillomavirus 1		Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
3018825	Bat Coronavirus EsJX20		Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
2972708	Bat faecal associated chuvirus 3		Chuviridae	Jingchuvirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
2447805	Myotis horsfieldii polyomavirus 1		Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
3018867	Bat Coronavirus PaGD16		Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
3048153	Aquabirnavirus salmonidae	Aquabirnavirus	Birnaviridae				Riboviria	Viruses			
2301732	Bat Middle East Hepe-Astrovirus						Riboviria	Viruses			
2853285	Phyllostomus bat morbillivirus	Morbillivirus	Paramyxoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
3018835	Bat Coronavirus HlYN20		Coronaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
2951619	Lyssavirus helsinki	Lyssavirus	Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
3052686	Phlebovirus toscanaense	Phlebovirus	Phenuiviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Riboviria	Viruses			
1459003	Pteropine orthoreovirus	Orthoreovirus	Spinareoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Riboviria	Viruses			
2877512	Wufeng Rhinolophus sinicus rubulavirus 1	Rubulavirus	Paramyxoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
2928910	Chifec genomovirus UA13_93		Genomoviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
1606503	Betapolyomavirus desrotundus	Betapolyomavirus	Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
2911997	Molossus molossus associated gemykronzavirus 1	Gemykroznavirus	Genomoviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
1329402	Eptesipox virus	Vespertilionpoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Varidnaviria	Viruses			
1606501	Betapolyomavirus pteparnellii	Betapolyomavirus	Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
2447816	Rhinolophus ferrumequinum polyomavirus 3		Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
1891732	Alphapolyomavirus secomartiensseni	Alphapolyomavirus	Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
2664215	Tadarida brasiliensis papillomavirus 1		Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Monodnaviria	Viruses			
