tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
2956575	Typhavirus typha	Typhavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1922605	Beihai picorna-like virus 6						Riboviria	Viruses			
3052417	Orthobunyavirus maprikense	Orthobunyavirus	Peribunyaviridae	Bunyavirales	Ellioviricetes	Negarnaviricota	Riboviria	Viruses			
1826170	Tokyovirus A1	Marseillevirus	Marseilleviridae	Pimascovirales	Megaviricetes	Nucleocytoviricota	Varidnaviria	Viruses			
2846247	Triavirus tv15644	Triavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2560756	Mooglevirus Sf13	Mooglevirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2560578	Malagasivirus A	Malagasivirus	Picornaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Riboviria	Viruses			
2560514	Gordonia virus Yvonnetastic	Yvonnevirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
320844	Phietavirus pv71	Phietavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
3048302	Luteovirus rosae	Luteovirus	Tombusviridae	Tolivirales	Tolucaviricetes	Kitrinoviricota	Riboviria	Viruses			
1097752	Mycobacterium virus DotProduct	Cheoctovirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1985712	Friunavirus Fri1	Friunavirus	Autographiviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2843806	Hodnevirus geoenecus	Hodnevirus	Steitzviridae	Timlovirales	Leviviricetes	Lenarviricota	Riboviria	Viruses			
2560510	Soupsvirus strosahl	Soupsvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
2170099	Plotvirus plot	Plotvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
220608	Tomato leaf curl Bangalore virus	Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Monodnaviria	Viruses			
2560845	Alphanemrhavirus xingshan	Alphanemrhavirus	Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Riboviria	Viruses			
1685784	Lake Sarah-associated circular virus-7							Viruses			
2955347	Anayavirus niklas	Anayavirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
3060513	Paclarkvirus IPP39	Paclarkvirus			Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
1923563	Wenzhou gastropodes virus 1						Riboviria	Viruses			
2846603	Icepovirus bengalense	Icepovirus	Zobellviridae		Caudoviricetes	Uroviricota	Duplodnaviria	Viruses			
3047679	Betanecrovirus betae	Betanecrovirus	Tombusviridae	Tolivirales	Tolucaviricetes	Kitrinoviricota	Riboviria	Viruses			
